team,playerName,position,salary,birth,birthYear,height,weight,nationality,joinYear
롯데,김승회,투수,12000,1981-02-11,1981,177,85,한국,2003
넥센,김영광,투수,2400,1991-11-03,1991,182,73,한국,2014
넥센,김영민,투수,7000,1987-08-07,1987,188,98,한국,2006
롯데,김유영,투수,2400,1994-05-02,1994,180,79,한국,2014
삼성,김재우,투수,2400,1987-07-04,1987,186,83,한국,2010
한화,김종수,투수,2500,1994-06-03,1994,180,80,한국,2013
KIA,김준,투수,2800,1985-10-08,1985,180,80,한국,2008
KIA,김지훈,투수,2400,1992-04-16,1992,181,88,한국,2014
NC,김진성,투수,4300,1985-03-07,1985,186,92,한국,2005
KIA,김진우,투수,13000,1983-03-07,1983,193,95,한국,2002
두산,김창훈,투수,3400,1985-10-03,1985,183,82,한국,2004
KIA,김태영,투수,8000,1980-04-07,1980,181,82,한국,2001
넥센,김태형,투수,2600,1993-07-07,1993,185,82,한국,2012
NC,김학성,투수,2400,1991-06-15,1991,183,82,한국,2014
한화,김혁민,투수,11400,1987-05-24,1987,187,94,한국,2007
삼성,김현우,투수,3000,1988-01-21,1988,185,111,한국,2010
LG,김효남,투수,3300,1983-03-26,1983,183,95,한국,2006
롯데,나승현,투수,3200,1987-04-06,1987,178,90,한국,2006
넥센,나이트,투수,410000,1975-10-01,1975,183,88,미국,
두산,노경은,투수,28000,1984-03-11,1984,186,85,한국,2003
NC,노성호,투수,4300,1989-10-22,1989,182,89,한국,2012
삼성,노진용,투수,2600,1990-02-15,1990,182,85,한국,2008
두산,니퍼트,투수,387000,1981-05-06,1981,203,103,미국,
SK,레이예스,투수,3.00E+05,1984-11-20,1984,189,97,미국,
LG,류제국,투수,18000,1983-05-30,1983,190,105,한국,2001
LG,류택현,투수,10000,1971-10-23,1971,185,80,한국,1994
LG,리오단,투수,250000,1986-05-25,1986,193,90,미국,
두산,마야,투수,175000,1981-08-28,1981,183,95,쿠바,
한화,마일영,투수,15000,1981-05-28,1981,177,95,한국,2000
넥센,마정길,투수,8800,1979-03-13,1979,177,95,한국,2002
삼성,마틴,투수,250000,1983-01-02,1983,193,101,미국,
SK,문광은,투수,2800,1987-11-09,1987,180,85,한국,2010
롯데,문동욱,투수,2400,1992-01-07,1992,187,90,한국,2014
넥센,문성현,투수,8500,1991-11-09,1991,180,87,한국,2010
NC,문수호,투수,3300,1983-06-04,1983,185,85,한국,2002
NC,민성기,투수,2400,1989-09-12,1989,181,73,한국,2008
KIA,박경태,투수,6500,1987-09-02,1987,185,87,한국,2006
SK,박규민,투수,2400,1995-03-14,1995,185,79,한국,2014
삼성,박근홍,투수,4000,1985-08-22,1985,180,90,한국,2004
NC,박명환,투수,5000,1977-06-07,1977,186,92,한국,1999
두산,박민석,투수,2600,1989-07-04,1989,186,88,한국,2008
SK,박민호,투수,2400,1992-02-25,1992,185,95,한국,2014
넥센,박병훈,투수,2400,1991-10-01,1991,181,83,한국,2014
KIA,박상옥,투수,2400,1991-09-12,1991,185,85,한국,2014
KIA,박성호,투수,3600,1986-07-04,1986,197,115,한국,2008
넥센,박성훈,투수,9000,1982-09-19,1982,188,97,한국,2005
SK,박정배,투수,8000,1982-04-01,1982,180,85,한국,2005
넥센,박정준,투수,2400,1992-03-22,1992,182,82,한국,2014
한화,박정진,투수,20000,1976-05-27,1976,183,88,한국,1999
KIA,박준표,투수,2700,1992-06-26,1992,181,83,한국,2013
KIA,박지훈,투수,5500,1989-09-21,1989,182,82,한국,2012
SK,박희수,투수,19000,1983-07-13,1983,184,88,한국,2006
LG,배민관,투수,2400,1991-07-29,1991,185,93,한국,2011
삼성,배영수,투수,55000,1981-05-04,1981,184,84,한국,2000
롯데,배장호,투수,5200,1987-06-25,1987,188,95,한국,2006
NC,배재환,투수,2400,1995-02-24,1995,186,95,한국,2014
넥센,배힘찬,투수,3000,1983-12-08,1983,185,82,한국,2002
SK,백인식,투수,6000,1987-11-19,1987,185,95,한국,2008
삼성,백정현,투수,4500,1987-07-13,1987,184,80,한국,2007
삼성,밴덴헐크,투수,250000,1985-05-22,1985,198,104,네덜란드,
SK,밴와트,투수,150000,1986-02-14,1986,192,100,미국,
넥센,밴헤켄,투수,350000,1979-07-31,1979,193,90,미국,
NC,변강득,투수,2400,1987-05-29,1987,180,87,한국,2006
두산,변진수,투수,6500,1993-04-01,1993,178,78,한국,2012
두산,볼스테드,투수,250000,1986-09-23,1986,207,104,미국,
LG,봉중근,투수,45000,1980-07-15,1980,190,98,한국,1997
한화,서균,투수,2400,1992-01-11,1992,185,81,한국,2014
삼성,서동환,투수,3000,1986-03-27,1986,185,90,한국,2005
KIA,서재응,투수,20000,1977-05-24,1977,181,97,한국,1998
두산,성영훈,투수,2400,1990-06-24,1990,180,82,한국,2009
넥센,소사,투수,150000,1985-07-28,1985,186,95,도미니카,
NC,손민한,투수,10000,1975-01-02,1975,180,85,한국,1997
넥센,손승락,투수,43000,1982-03-04,1982,187,88,한국,2005
NC,손정욱,투수,3300,1990-12-24,1990,182,84,한국,2013
롯데,송승준,투수,36000,1980-06-29,1980,183,105,한국,1999
넥센,송신영,투수,30000,1977-03-01,1977,180,88,한국,1999
LG,송윤준,투수,2600,1992-07-16,1992,186,78,한국,2011
KIA,송은범,투수,30000,1984-03-17,1984,182,88,한국,2003
롯데,송주은,투수,2400,1994-03-25,1994,189,97,한국,2013
한화,송창식,투수,13000,1985-03-25,1985,183,104,한국,2004
한화,송창현,투수,4600,1989-08-17,1989,181,100,한국,2013
LG,신동훈,투수,2500,1994-01-24,1994,183,80,한국,2012
넥센,신명수,투수,2400,1994-07-16,1994,180,95,한국,2012
LG,신승현,투수,6500,1983-08-13,1983,193,102,한국,2000
삼성,신용운,투수,9000,1983-09-08,1983,180,72,한국,2002
SK,신윤호,투수,4000,1975-05-15,1975,184,100,한국,1994
LG,신재웅,투수,8000,1982-03-28,1982,181,85,한국,2005
LG,신정락,투수,10000,1987-05-13,1987,177,78,한국,2010
KIA,신창호,투수,3700,1987-03-18,1987,180,93,한국,2006
롯데,심규범,투수,2400,1991-09-04,1991,180,84,한국,2014
KIA,심동섭,투수,5000,1991-09-20,1991,185,85,한국,2010
롯데,심수창,투수,5500,1981-02-09,1981,185,85,한국,2004
삼성,심창민,투수,11000,1993-02-01,1993,185,86,한국,2011
삼성,안규현,투수,2400,1995-11-30,1995,184,79,한국,2014
한화,안승민,투수,7000,1991-06-21,1991,182,95,한국,2010
한화,안영명,투수,11500,1984-11-19,1984,183,90,한국,2003
삼성,안지만,투수,41000,1983-10-01,1983,180,83,한국,2002
한화,앨버스,투수,7.00E+05,1985-10-06,1985,185,88,캐나다,
KIA,양현종,투수,12000,1988-03-01,1988,183,85,한국,2007
KIA,어센시오,투수,250000,1983-05-30,1983,189,82,도미니카,
SK,엄정욱,투수,7000,1981-06-18,1981,191,94,한국,2000
NC,에릭,투수,3.00E+05,1983-03-26,1983,185,104,미국,
SK,여건욱,투수,3000,1986-09-16,1986,185,95,한국,2009
두산,여정호,투수,2800,1984-05-29,1984,184,87,한국,2012
SK,오수호,투수,2400,1990-04-20,1990,175,93,한국,2009
넥센,오재영,투수,9000,1985-03-31,1985,184,95,한국,2004
두산,오현택,투수,12500,1985-07-17,1985,180,73,한국,2009
롯데,옥스프링,투수,250000,1977-05-13,1977,183,90,호주,
LG,우규민,투수,18000,1985-01-21,1985,184,75,한국,2003
SK,울프,투수,250000,1982-10-18,1982,182,82,미국,
두산,원용묵,투수,2700,1986-06-25,1986,187,96,한국,2006
NC,원종현,투수,2400,1987-07-31,1987,182,83,한국,2006
NC,웨버,투수,250000,1984-09-28,1984,189,93,미국,
KIA,유동훈,투수,17500,1977-02-12,1977,183,87,한국,1999
롯데,유먼,투수,360000,1979-10-11,1979,195,100,미국,
SK,유영하,투수,2400,1993-10-10,1993,180,85,한국,2014
LG,유원상,투수,7500,1986-06-17,1986,187,93,한국,2006
한화,유창식,투수,6400,1992-05-15,1992,186,100,한국,2011
두산,유창준,투수,2600,1989-07-25,1989,184,105,한국,2013
두산,유희관,투수,10000,1986-06-01,1986,180,88,한국,2009
NC,윤강민,투수,2400,1990-10-08,1990,183,88,한국,2013
한화,윤규진,투수,8000,1984-07-28,1984,185,90,한국,2003
한화,윤근영,투수,5700,1986-05-07,1986,185,89,한국,2005
한화,윤기호,투수,2600,1988-07-28,1988,184,83,한국,2008
SK,윤길현,투수,14500,1983-09-23,1983,185,86,한국,2002
두산,윤명준,투수,5700,1989-06-18,1989,178,78,한국,2012
SK,윤석주,투수,2400,1990-04-27,1990,181,72,한국,2009
삼성,윤성환,투수,45000,1981-10-08,1981,183,88,한국,2004
넥센,윤영삼,투수,2500,1992-07-14,1992,181,87,한국,2011
LG,윤지웅,투수,3500,1988-03-11,1988,180,75,한국,2011
NC,윤형배,투수,2400,1994-07-15,1994,183,99,한국,2012
SK,윤희상,투수,16000,1985-05-17,1985,193,88,한국,2004
KIA,이대환,투수,4000,1979-05-28,1979,186,93,한국,2002
한화,이동걸,투수,3000,1983-08-12,1983,185,95,한국,2007
LG,이동학,투수,2700,1981-05-06,1981,184,92,한국,2000
LG,이동현,투수,17000,1983-01-12,1983,192,98,한국,2001
롯데,이명우,투수,13000,1982-06-03,1982,185,98,한국,2002
NC,이민호,투수,5800,1993-08-11,1993,185,90,한국,2012
LG,이범준,투수,3100,1989-07-15,1989,188,88,한국,2008
넥센,이상민,투수,2600,1990-11-04,1990,180,78,한국,2012
SK,이상백,투수,2500,1987-03-10,1987,180,92,한국,2010
LG,이상열,투수,15000,1977-04-20,1977,185,73,한국,1996
롯데,이상화,투수,3500,1988-03-01,1988,188,95,한국,2007
SK,이석재,투수,2400,1990-01-18,1990,178,75,한국,2013
NC,이성민,투수,4200,1990-03-30,1990,185,85,한국,2013
삼성,이수민,투수,2400,1995-09-11,1995,180,94,한국,2014
NC,이승호,투수,7000,1976-08-23,1976,189,90,한국,1999
SK,이승호,투수,35000,1981-09-09,1981,176,86,한국,2000
삼성,이영욱,투수,6200,1980-08-13,1980,191,94,한국,2003
LG,이영재,투수,2400,1992-08-04,1992,183,88,한국,2010
두산,이용찬,투수,14500,1989-01-02,1989,185,85,한국,2007
롯데,이용훈,투수,7000,1977-08-14,1977,183,83,한국,2000
삼성,이우선,투수,5000,1983-04-19,1983,179,83,한국,2007
롯데,이웅한,투수,2400,1988-08-19,1988,185,87,한국,2007
롯데,이인복,투수,2400,1991-06-18,1991,186,88,한국,2014
롯데,이재곤,투수,4900,1988-11-24,1988,191,96,한국,2007
SK,이재영,투수,12000,1979-06-13,1979,187,90,한국,2002
두산,이재우,투수,12500,1980-02-09,1980,183,82,한국,2001
NC,이재학,투수,12500,1990-10-04,1990,181,80,한국,2010
롯데,이정민,투수,3800,1979-03-02,1979,183,83,한국,2002
두산,이정호,투수,2900,1992-04-11,1992,184,88,한국,2011
넥센,이정훈,투수,10000,1977-10-09,1977,182,95,한국,1997
롯데,이지모,투수,2600,1986-10-30,1986,183,88,한국,2005
SK,이창욱,투수,2400,1984-08-28,1984,181,80,한국,2006
LG,이창호,투수,2400,1987-03-09,1987,183,83,한국,2012
한화,이태양,투수,3000,1990-07-03,1990,192,97,한국,2010
NC,이태양,투수,4400,1993-01-28,1993,183,82,한국,2011
SK,이한진,투수,3500,1983-12-20,1983,191,95,한국,2006
삼성,이현동,투수,2400,1993-03-27,1993,183,83,한국,2012
두산,이현승,투수,11000,1983-10-11,1983,179,87,한국,2008
NC,이혜천,투수,10000,1979-03-12,1979,184,90,한국,1998
SK,임경완,투수,20000,1975-12-28,1975,186,95,한국,1998
한화,임기영,투수,3000,1993-04-16,1993,184,75,한국,2012
LG,임정우,투수,6500,1991-04-02,1991,183,77,한국,2011
NC,임정호,투수,2400,1990-04-16,1990,188,85,한국,2013
KIA,임준섭,투수,6000,1989-07-16,1989,181,88,한국,2013
KIA,임준혁,투수,4300,1984-10-09,1984,182,96,한국,2003
LG,임지섭,투수,2400,1995-09-06,1995,190,94,한국,2014
NC,임창민,투수,6200,1985-08-25,1985,183,85,한국,2008
삼성,임창용,투수,50000,1976-06-04,1976,180,75,한국,1995
두산,임태훈,투수,7500,1988-09-28,1988,182,83,한국,2007
삼성,임현준,투수,3300,1988-12-21,1988,185,88,한국,2011
두산,장민익,투수,2700,1991-02-05,1991,207,99,한국,2010
넥센,장시환,투수,3100,1987-11-01,1987,184,82,한국,2008
삼성,장원삼,투수,75000,1983-06-09,1983,181,81,한국,2006
롯데,장원준,투수,32000,1985-07-31,1985,184,85,한국,2004
LG,장진용,투수,2400,1986-01-28,1986,187,92,한국,2004
SK,전병두,투수,8000,1984-10-14,1984,181,77,한국,2003
두산,전용훈,투수,2400,1995-03-20,1995,182,75,한국,2014
SK,전유수,투수,5000,1986-11-29,1986,185,95,한국,2005
한화,정광운,투수,2400,1991-04-21,1991,184,81,한국,2014
롯데,정대현,투수,50000,1978-11-10,1978,184,104,한국,2001
두산,정대현,투수,2700,1991-07-19,1991,186,93,한국,2010
한화,정대훈,투수,3300,1985-03-08,1985,185,83,한국,2008
한화,정민혁,투수,3100,1983-09-14,1983,178,75,한국,2007
KIA,정용운,투수,2700,1990-07-06,1990,185,84,한국,2009
한화,정재원,투수,3500,1984-08-11,1984,187,84,한국,2004
두산,정재훈,투수,35000,1980-01-01,1980,179,81,한국,2003
NC,정진,투수,2600,1979-08-06,1979,175,75,한국,2012
LG,정찬헌,투수,3200,1990-01-26,1990,187,94,한국,2008
롯데,정태승,투수,2500,1988-03-17,1988,180,83,한국,2012
LG,정혁진,투수,2400,1994-07-18,1994,189,95,한국,2013
LG,정현욱,투수,40000,1978-12-02,1978,187,102,한국,1996
넥센,정회찬,투수,2400,1987-02-07,1987,194,105,한국,2009
SK,제춘모,투수,3000,1982-04-05,1982,190,91,한국,2002
넥센,조덕길,투수,2400,1989-10-02,1989,185,88,한국,2013
넥센,조상우,투수,2800,1994-09-04,1994,186,97,한국,2013
한화,조영우,투수,2400,1995-06-27,1995,185,80,한국,2013
한화,조지훈,투수,2800,1994-04-06,1994,185,91,한국,2013
삼성,조현근,투수,4000,1985-11-21,1985,184,74,한국,2005
SK,진해수,투수,7500,1986-06-26,1986,187,85,한국,2006
KIA,차명진,투수,2400,1995-03-03,1995,187,89,한국,2014
삼성,차우찬,투수,24000,1987-05-31,1987,185,80,한국,2006
NC,찰리,투수,3.00E+05,1985-10-25,1985,190,93,미국,
SK,채병용,투수,13500,1982-04-25,1982,185,100,한국,2001
NC,최금강,투수,4000,1989-04-26,1989,195,95,한국,2013
롯데,최대성,투수,7500,1985-05-17,1985,182,80,한국,2004
LG,최동환,투수,2500,1989-09-19,1989,184,83,한국,2009
두산,최병욱,투수,2400,1989-06-02,1989,181,88,한국,2014
KIA,최영필,투수,7000,1974-05-13,1974,184,92,한국,1997
한화,최영환,투수,2400,1992-02-20,1992,181,88,한국,2014
KIA,최현정,투수,2400,1992-12-03,1992,178,75,한국,2011
두산,최현진,투수,2500,1992-09-24,1992,183,86,한국,2011
한화,클레이,투수,250000,1988-02-15,1988,188,82,미국,
한화,타투스코,투수,2.00E+05,1985-03-27,1985,196,92,미국,
KIA,토마스,투수,160000,1984-01-18,1984,190,99,미국,
LG,티포드,투수,4.00E+05,1984-05-15,1984,183,75,미국,
넥센,하영민,투수,2400,1995-05-07,1995,180,68,한국,2014
넥센,하해웅,투수,2400,1989-05-05,1989,172,80,한국,2013
KIA,한기주,투수,8000,1987-04-29,1987,186,90,한국,2006
KIA,한승혁,투수,3200,1993-01-03,1993,185,88,한국,2011
두산,한주성,투수,2400,1995-02-26,1995,184,90,한국,2014
넥센,한현희,투수,12500,1993-06-25,1993,182,95,한국,2012
LG,한희,투수,3200,1989-11-11,1989,182,86,한국,2009
두산,함덕주,투수,2500,1995-01-13,1995,181,78,한국,2013
SK,허건엽,투수,2800,1993-07-24,1993,178,88,한국,2012
한화,허유강,투수,3100,1986-11-16,1986,180,82,한국,2009
두산,허준혁,투수,3500,1985-12-15,1985,180,87,한국,2004
롯데,허준혁,투수,4700,1990-09-30,1990,183,82,한국,2009
KIA,홀튼,투수,250000,1979-08-12,1979,193,107,미국,
두산,홍상삼,투수,16000,1990-02-13,1990,188,85,한국,2008
롯데,홍성민,투수,6000,1989-07-15,1989,189,73,한국,2012
NC,홍성용,투수,2400,1986-11-18,1986,180,85,한국,2005
한화,황영국,투수,2400,1995-12-26,1995,185,83,한국,2014
한화,황재규,투수,3500,1986-04-16,1986,175,85,한국,2009
두산,김영은,투수,2400,1988-09-27,1988,188,92,한국,2014
두산,정은재,투수,2400,1991-12-31,1991,192,92,한국,2014
두산,천영웅,투수,2400,1994-03-23,1994,178,76,한국,2013
롯데,강민호,포수,1.00E+05,1985-08-18,1985,186,100,한국,2004
한화,김민수,포수,2400,1991-03-02,1991,177,80,한국,2014
롯데,김사훈,포수,2900,1987-06-18,1987,174,86,한국,2012
KIA,김상훈,포수,9000,1977-10-27,1977,180,92,한국,2000
두산,김응민,포수,2400,1991-10-22,1991,178,90,한국,2012
LG,김재민,포수,3000,1991-01-28,1991,177,84,한국,2013
넥센,김재현,포수,2400,1993-03-18,1993,178,80,한국,2012
두산,김재환,포수,2700,1988-09-22,1988,183,90,한국,2008
SK,김정훈,포수,2400,1987-05-23,1987,182,93,한국,2010
롯데,김준태,포수,2500,1994-07-31,1994,175,91,한국,2013
NC,김태군,포수,8000,1989-12-30,1989,182,92,한국,2008
NC,김태우,포수,2500,1989-07-23,1989,180,80,한국,2012
삼성,김희석,포수,2400,1990-02-25,1990,179,75,한국,2014
NC,박광열,포수,2400,1995-08-28,1995,182,74,한국,2014
한화,박노민,포수,3500,1985-08-18,1985,182,93,한국,2004
넥센,박동원,포수,3400,1990-04-07,1990,179,92,한국,2009
KIA,백용환,포수,2900,1989-03-20,1989,180,84,한국,2008
두산,양의지,포수,20000,1987-06-05,1987,179,85,한국,2006
한화,엄태용,포수,3500,1994-02-24,1994,183,85,한국,2012
롯데,용덕한,포수,6500,1981-04-09,1981,176,82,한국,2004
두산,윤도경,포수,2500,1989-07-02,1989,182,85,한국,2008
LG,윤요섭,포수,10000,1982-03-30,1982,180,96,한국,2008
KIA,이성우,포수,3700,1981-09-01,1981,180,83,한국,2003
NC,이승재,포수,2400,1983-06-09,1983,182,88,한국,2002
넥센,이용하,포수,2400,1995-05-03,1995,185,90,한국,2014
SK,이윤재,포수,2500,1989-01-02,1989,179,89,한국,2014
SK,이재원,포수,7500,1988-02-24,1988,185,98,한국,2006
삼성,이정식,포수,5500,1981-11-02,1981,183,90,한국,2004
한화,이준수,포수,3800,1988-06-17,1988,176,80,한국,2012
삼성,이지영,포수,9000,1986-02-27,1986,178,83,한국,2009
NC,이태원,포수,3200,1986-03-17,1986,177,78,한국,2010
넥센,이해창,포수,2400,1987-05-11,1987,184,85,한국,2010
KIA,이홍구,포수,3000,1990-12-11,1990,180,95,한국,2013
삼성,이흥련,포수,2500,1989-05-16,1989,183,85,한국,2012
한화,이희근,포수,4500,1985-06-07,1985,179,83,한국,2008
넥센,임태준,포수,2400,1988-04-23,1988,177,86,한국,2007
롯데,장성우,포수,5500,1990-01-17,1990,187,100,한국,2008
두산,장승현,포수,2400,1994-03-07,1994,184,86,한국,2013
한화,정범모,포수,5300,1987-03-26,1987,184,94,한국,2006
SK,정상호,포수,15500,1982-12-24,1982,187,98,한국,2001
LG,조윤준,포수,3500,1989-08-30,1989,185,95,한국,2012
한화,조인성,포수,40000,1975-05-25,1975,183,99,한국,1998
삼성,진갑용,포수,25000,1974-05-08,1974,182,90,한국,1997
KIA,차일목,포수,8000,1981-01-26,1981,176,81,한국,2003
삼성,채상병,포수,4500,1979-12-18,1979,184,95,한국,2002
LG,최경철,포수,5000,1980-08-15,1980,180,86,한국,2003
두산,최재훈,포수,5000,1989-08-27,1989,178,76,한국,2008
넥센,허도환,포수,8700,1984-07-31,1984,176,87,한국,2007
SK,허웅,포수,3000,1983-09-17,1983,177,84,한국,2002
NC,허준,포수,4000,1981-07-20,1981,182,97,한국,2005
LG,현재윤,포수,7800,1979-07-08,1979,174,80,한국,2002
KIA,오두철,포수,2400,1985-04-25,1985,178,78,한국,2013
NC,정성민,포수,2400,1991-03-29,1991,180,85,한국,2013
한화,강경학,내야수,2400,1992-08-11,1992,180,72,한국,2011
삼성,강명구,내야수,6000,1980-10-25,1980,181,70,한국,2003
NC,강민국,내야수,2400,1992-01-10,1992,176,80,한국,2014
넥센,강정호,내야수,42000,1987-04-05,1987,183,96,한국,2006
KIA,강한울,내야수,2400,1991-09-12,1991,181,66,한국,2014
두산,고영민,내야수,7500,1984-02-08,1984,182,73,한국,2002
KIA,고영우,내야수,2800,1990-01-08,1990,183,80,한국,2013
LG,권용관,내야수,8000,1976-11-19,1976,180,80,한국,1995
두산,김강,내야수,3000,1988-10-16,1988,188,92,한국,2007
삼성,김경모,내야수,2700,1989-06-15,1989,177,72,한국,2008
KIA,김광연,내야수,2600,1991-11-13,1991,182,73,한국,2013
두산,김동주,내야수,60000,1976-02-03,1976,180,102,한국,1998
넥센,김민성,내야수,18000,1988-12-17,1988,181,94,한국,2007
KIA,김민우,내야수,8300,1979-03-21,1979,184,84,한국,2002
삼성,김상수,내야수,24000,1990-03-23,1990,175,68,한국,2009
KIA,김선빈,내야수,13000,1989-12-18,1989,165,70,한국,2008
SK,김성현,내야수,7000,1987-03-09,1987,172,70,한국,2006
SK,김연훈,내야수,6000,1984-12-23,1984,180,72,한국,2008
LG,김연훈,내야수,6000,1984-12-23,1984,180,72,한국,2008
LG,김영관,내야수,2700,1985-07-20,1985,178,80,한국,2012
삼성,김용의,내야수,10000,1985-08-20,1985,187,74,한국,2008
삼성,김재현,내야수,2400,1991-08-30,1991,176,73,한국,2014
삼성,김재호,내야수,11700,1985-03-21,1985,181,75,한국,2004
롯데,김주현,내야수,2000,1988-04-16,1988,182,85,한국,2010
KIA,김주형,내야수,6100,1985-12-15,1985,186,100,한국,2004
넥센,김지수,내야수,3500,1986-08-23,1986,180,81,한국,2009
한화,김태균,내야수,150000,1982-05-29,1982,185,110,한국,2001
삼성,김태완,내야수,10000,1981-09-19,1981,174,81,한국,2004
NC,김태진,내야수,2400,1995-10-07,1995,173,68,한국,2014
넥센,김하성,내야수,2400,1995-10-17,1995,175,76,한국,2014
한화,김회성,내야수,3400,1985-12-04,1985,190,92,한국,2009
삼성,나바로,내야수,250000,1987-10-31,1987,183,93,도미니카,
SK,나주환,내야수,20000,1984-06-14,1984,180,84,한국,2003
NC,노진혁,내야수,4800,1989-07-15,1989,184,80,한국,2012
한화,노태형,내야수,2400,1995-02-08,1995,182,74,한국,2014
삼성,모상기,내야수,3000,1987-01-03,1987,193,100,한국,2006
NC,모창민,내야수,8600,1985-05-08,1985,188,89,한국,2008
롯데,문규현,내야수,6800,1983-07-05,1983,184,87,한국,2002
두산,문진제,내야수,2400,1991-08-01,1991,183,79,한국,2014
LG,박경수,내야수,9000,1984-03-31,1984,178,80,한국,2003
삼성,박계범,내야수,2400,1996-01-11,1996,178,72,한국,2014
SK,박계현,내야수,2900,1992-03-08,1992,181,77,한국,2014
KIA,박기남,내야수,9000,1981-08-14,1981,175,80,한국,2004
롯데,박기혁,내야수,7000,1981-06-04,1981,179,77,한국,2000
NC,박민우,내야수,2600,1993-02-06,1993,185,80,한국,2012
넥센,박병호,내야수,50000,1986-07-10,1986,185,107,한국,2005
SK,박상현,내야수,2400,1989-11-22,1989,177,81,한국,2009
삼성,박석민,내야수,37000,1985-06-22,1985,178,88,한국,2004
SK,박승욱,내야수,2700,1992-12-04,1992,184,78,한국,2012
SK,박윤,내야수,3500,1988-03-07,1988,181,90,한국,2007
SK,박정권,내야수,23500,1981-07-21,1981,187,93,한국,2004
롯데,박종윤,내야수,12000,1982-04-11,1982,188,92,한국,2001
롯데,박준서,내야수,6800,1981-12-11,1981,180,80,한국,2001
SK,박진만,내야수,20000,1976-11-30,1976,178,82,한국,1996
KIA,박찬호,내야수,2400,1995-06-05,1995,178,71,한국,2014
삼성,백상원,내야수,2600,1988-01-02,1988,177,76,한국,2010
넥센,백승룡,내야수,3500,1982-08-16,1982,180,83,한국,2005
LG,백창수,내야수,2800,1988-05-09,1988,179,79,한국,2010
넥센,서건창,내야수,9300,1989-08-22,1989,176,84,한국,2008
넥센,서동욱,내야수,9000,1984-03-21,1984,188,99,한국,2008
NC,손시헌,내야수,40000,1980-10-19,1980,172,73,한국,2003
롯데,손용석,내야수,2700,1987-04-13,1987,175,84,한국,2006
LG,손주인,내야수,15000,1983-12-01,1983,179,82,한국,2002
한화,송광민,내야수,7000,1983-06-24,1983,184,90,한국,2006
롯데,신본기,내야수,5000,1989-03-21,1989,178,82,한국,2012
SK,신현철,내야수,2600,1987-11-02,1987,179,84,한국,2006
SK,안정광,내야수,2600,1989-11-29,1989,184,82,한국,2010
KIA,안치홍,내야수,15000,1990-07-02,1990,178,80,한국,2009
넥센,안태영,내야수,3000,1985-03-15,1985,186,93,한국,2004
LG,양석환,내야수,2400,1991-07-15,1991,185,90,한국,2014
두산,양종민,내야수,2900,1990-10-09,1990,181,81,한국,2009
롯데,오승택,내야수,2500,1991-11-18,1991,186,85,한국,2010
두산,오장훈,내야수,2700,1984-05-19,1984,186,100,한국,2009
